appid,voted_up,review
730,0,아니 일겜에 중국인들 핵? 써서 안 움직이고 뭐하는지 모르겠네 게임이 안되잔아 게임이
730,0,핵 핵 핵 핵 핵 핵 핵 핵 핵 핵 핵 핵 핵 핵 핵 핵 핵 핵 핵 핵 핵 핵 핵 핵 핵 핵 핵 핵 핵 핵 핵 핵 핵 핵 핵 핵 핵 핵 핵 핵 핵 핵 핵 핵 핵 핵 핵 핵 핵 핵 핵 핵 핵 핵 핵 핵 핵 핵 핵 핵 핵 핵 핵 핵 핵 핵 핵 핵 핵 핵 핵 핵 핵 핵 핵 핵 핵 핵 핵 핵 핵 핵 핵 핵 핵 핵 핵 핵 핵 핵 핵 핵 핵 핵 핵 핵핵 핵 핵 핵 핵 핵 핵 핵 핵 핵 핵 핵 핵 핵 핵 핵 핵 핵 핵 핵 핵 핵 핵 핵 핵 핵 핵 핵 핵 핵 핵 핵 핵 핵 핵 핵 핵 핵 핵 핵 핵 핵 핵 핵 핵 핵 핵 핵 핵 핵 핵 핵 핵 핵 핵 핵 핵 핵 핵 핵 핵 핵 핵 핵 핵 핵 핵 핵 핵 핵 핵 핵 핵 핵 핵 핵 핵 핵 핵 핵 핵 핵 핵 핵 핵 핵 핵 핵 핵 핵 핵 핵 핵 핵 핵 핵 핵 핵 핵 핵 핵 핵 핵 핵 핵 핵 핵 핵 핵 핵 핵 핵
730,1,이게임 할려고 중국어 브리핑 하는법 배웠음  근본있긴함 재밌음
730,1,https://steamcommunity.com/profiles/76561198041683378/inventory/#730_2_38824393688 https://steamcommunity.com/profiles/76561198041683378/inventory/#730_2_41640713893
730,1,https://steamcommunity.com/profiles/76561197973845818/inventory/#730_2_182003526 https://steamcommunity.com/id/tarikcsgo/inventory/#730_2_13592133162
730,1,this game is so good but there are too many not playing players.
730,0,아이씨발 게임 입문 자체를 못하겠네 뭐만하면 쳐뒤져서 관전만하고있으니  하루종일 니가와 쳐하다가 사람지나갈때 쏴서 죽이면 이기는겜
730,1,fps게임을 한다면 나름 재밋는 요소를 꽤 느낄수 있음
730,1,내 돈줄!~!!! 상자 팔아서 돈벌었다 이야~ 게임 하나 살수있겠누 뭐 몇십원 손해 보긴했지만 응~ 어차피 카스글옵 다시는 안해~ 수고해~ 상자가 하나에 2만원할줄 누가 알았겠어~
730,0,"진짜 양학 아니면 핵밖에 없는 게임임 진짜 열심히 FPS 할거면 제발 다른 게임을 하러 찾아가보셈 핵을 쥰나게 안잡아서 프리미어 아니면 너는 한판에 한번은 핵을 만날거임 개고생하기 싫으면 프라임 사거나 다른 게임을 하셈 이건 진짜 너희들을 위한 리뷰이니까 제발 다른 게임을 하려무나"
730,1,good for playing in teams bad for lags and bugs.
730,0,"cheater very very many 99% cheater  no prime cheater"
730,1,CS2 보다 더 뛰어난 FPS 게임을 가져와라 그럼 넘어갈 의향이 있다.
730,0,"시작한지 얼마 안되었는데 프리미어 큐가 너무 높게 잡히면 아무것도 할수가 없어요 저는 11000점인데 28000,25000이런애들 잡아주면 숨도 못쉽니다. 좀 오래 걸리더라도 비슷한 수준으로 잡아줬으면 좋겠어요... 서로 불만이 생긴다고 봅니다"
730,1,"짱깨새끼들 마이크키면 왤캐 시끄럽냐 옆에서 애새끼 징징대는 소리, 스댕 그릇 떨어지면 탱~탱~ 탱그랑 이지랄 시발 실제로 삥 맞고 수류탄 처맞앗냐? 그리고 영어 좀 써 짱깨련들아 뭔 말인지 못 알아 듣는다고 그리고 러시아 이 씹 루스키 새끼들아 그 성격이니깐 보드카처마시고 뒤지고 어디가서 총맞고 죽는거야  겜 좀 살살하자"
730,0,요즘 카스를 하지도 않았는데 영정을 먹음.. 정작 핵쟁이들은 멀쩡히 겜하는거 보면 그냥 전체 유저 중에서 랜덤으로 정지 시키는 거 아님?
730,0,진짜 게임이 뭐 제대로 된 것 하나 없는 ㅈ망겜의 정석 그자체.
730,1,"CS2. 단 세 글자 속에 담긴 건 단순한 게임이 아니었다. 한밤중의 고요를 찢는 총성과 함께, 나는 또 한 번 전장 속으로 걸어 들어갔다.  모니터 너머로 퍼지는 먼지와 피, 팀원들의 목소리는 전장의 함성처럼 내 심장을 두드렸다. 하지만 그 아름다움은 오래가지 않았다. 벽을 뚫고 날아든 총알 한 발. 순식간에 쓰러지는 아군들. 미처 반응할 새도 없이, 누군가는 우리를 미리 알고 있었다.  핵. 그 존재는 인간이 만든 악마였다. 실력으로 겨루는 전쟁터에, 그들은 부정과 조작이라는 독을 흘려넣었다. 손끝에 스미는 분노, 치욕, 허탈함. 정의는 잠시 숨을 죽였고, 공정은 쓰러져 있었다. 게임을 나가는 손길은 떨렸고, 눈앞의 화면은 낯설게만 느껴졌다.  그러나 모든 전장이 그렇듯, 절망 뒤엔 빛이 있었다. 한 라운드, 한 발, 한 킬. 서로를 믿고 쏟아붓는 전력 속에 기적처럼 찾아오는 승리. 마지막 라운드의 클러치. 해설도, 채팅도, 아무것도 필요 없었다. 그 순간 내 심장은 천둥처럼 뛰었고, 손끝은 아직 총을 쥔 채 전율했다. 이겼다는 건 단순한 결과가 아니었다. 존재를 증명한 감정이었고, 노력의 결실이었다.  하지만 모든 경기가 그렇듯, 때로 나는 부족했고, 실수했고, 무너졌다. 뒤를 봐주지 못한 팀원에게, 놓쳐버린 각에 쓰러진 나 자신에게 말 한 마디 사과조차 남기지 못한 채, 다음 라운드가 시작되었다. ‘내가 더 잘했어야 했는데.’ 그 생각은 남겨진 로딩 화면 속에 쓸쓸히 스며들었다.  CS2는 단순한 FPS가 아니다. 그건 감정의 총집합체이며, 승패의 파도 속에 인간의 민낯을 드러내는 거울이다. 분노와 환희, 자책과 용기. 모든 감정이 0.1초의 반응 속도에 실려 발사되는 세계.  나는 또 게임을 켠다. 지금 이 순간도 어딘가에서 총성이 울리고 있을 것이다. 그리고 나는, 그 전장의 일부다. 늘 그랬듯."
730,1,"카스 1보다 재미 있어졌다. 연막탄과 소이탄을 이용해서 전략적으로 싸우는 재미가  더하다."
730,0,개똥망겜임 차라리 글옵시절이 제일 좋았던거같음 핵도 ㅈㄴ많고
730,0,fucking cheater in this game all of
730,0,일반게임으로 연습좀 할라했는데 뭔 짱개작업장들이 점령해서 게임을 못함
730,0,tlqkf 중국인들 떄문에 겜을 못하겠다. 그냥 시진핑의 노예들 그냥 다 숙청 하고 싶다.
730,0,ㅅㅂ 나는 더2 캐주얼 ㅈㄴ 좋아하는데 이 미친 밸브 놈들이 핵을 ㅈㄴ 안잡음 그냥 시작하지도마셈
730,1,진짜 잼민이 시절 하던 겜인데 이렇게 그래픽이 좋아졌네요 꿀잼입니다 칼총 스킨 가격은 사악하지만 존잼 ㅎㅎ
730,0,작업장 차린 새끼들이 자꾸 밴쳐서 정상적인 게임을 못함 ㅋㅋㅋ
730,1,초등학교 2학년때부터 처음 피씨방에서 씨디 받아서 시작해서 서른넘은 아저씨가 돼서도 하는 게임
730,1,이 게임은 함꼐 플레이하는 플레이어들이 가족을 챙겨줍니다
730,1,쌈@뽕 깔@롱한 게임 근데 쒸1@23빨 쉑123희들아 핵좀 잡아라 개색희들아
730,0,프라임 사지마셈 아니면 한국서버 차단해라 작업장 개 많아
730,1,this fucking game made me destroy a 4k pc i love it
